item1,item2,value1,value2,value3,value4,value5,value6,value7,value8
"106年 1月",彰化縣,62,11,44,6,1,0,0,11.29
"106年 1月",苗栗縣,62,19,39,4,0,0,0,6.45
"106年 1月",新竹縣,62,22,37,3,0,0,0,4.84
"106年 1月",宜蘭縣,62,44,18,0,0,0,0,0
"106年 1月",高雄市,248,4,75,145,24,0,0,68.15
"106年 1月",臺南市,124,0,62,55,7,0,0,50
"106年 1月",臺中市,155,36,98,19,2,0,0,13.55
"106年 1月",桃園市,124,57,60,6,1,0,0,5.65
"106年 1月",臺北市,155,76,74,5,0,0,0,3.23
"106年 1月",新北市,279,130,130,19,0,0,0,6.81
"106年 1月",總計,1859,522,872,401,64,0,0,25.01
106年,連江縣,363,97,183,67,15,1,0,22.87
106年,金門縣,365,81,174,82,28,0,0,30.14
106年,嘉義市,365,84,153,109,19,0,0,35.07
106年,新竹市,365,190,145,28,2,0,0,8.22
106年,基隆市,365,185,162,16,2,0,0,4.93
106年,澎湖縣,364,186,159,19,0,0,0,5.22
106年,花蓮縣,365,274,86,5,0,0,0,1.37
106年,臺東縣,365,331,33,1,0,0,0,0.27
106年,屏東縣,1093,464,304,256,65,4,0,29.73
106年,嘉義縣,730,199,338,170,23,0,0,26.44
106年,雲林縣,729,160,332,196,41,0,0,32.51
106年,南投縣,730,160,332,193,45,0,0,32.6
106年,彰化縣,730,250,359,111,10,0,0,16.58
106年,苗栗縣,730,288,376,63,3,0,0,9.04
106年,新竹縣,729,293,372,60,4,0,0,8.78
106年,宜蘭縣,728,505,211,11,1,0,0,1.65
106年,高雄市,2920,743,1135,849,191,2,0,35.68
106年,臺南市,1458,393,651,367,47,0,0,28.4
106年,臺中市,1824,691,823,270,40,0,0,17
106年,桃園市,1456,701,613,118,22,2,0,9.75
106年,臺北市,1817,888,830,85,13,1,0,5.45
106年,新北市,3285,1527,1460,258,39,1,0,9.07
106年,總計,21876,8690,9231,3334,610,11,0,18.08
